x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
20,55.76,47.4,53.27,62.73,64.77,60.81,57.91,63.84,72.13,77.16,71.79,71.23,77.02,73.84,75.73,76.67,73.61,84.15,78.48,79.82,79.13,85.92,91.07,88.72,89.84,91.72,79.81,90.26,92.08,94.26,109.26,100.42,86.54,99.02,96.61,99.55,104.01,108.8,100.15,99.68,102.49,123.84,115.3,109.11,111.09,103.77,106.42,110.64,130.43,105.05,108.34,113.76,120.72,133.59,139.5,123.75,123.77,122.29,121.98,130.17,135.84,127.37,128.87,129.0,131.83,129.21,151.89,139.87,138.64,139.13,129.6,125.13,144.89,156.89,136.11,144.53,146.29,153.94,120.54,145.39,135.46,153.34,166.11,152.4,143.31,144.48,139.28,141.87,143.79,171.66,161.14,145.11,146.87,164.93,155.14,155.04,151.18,150.03,154.83,147.97,139.36
21,56.94,47.85,47.22,59.61,57.31,60.11,59.66,66.27,64.76,70.97,70.67,64.53,72.57,74.69,72.53,70.48,66.66,81.92,82.23,79.16,78.16,83.1,90.07,88.52,80.5,88.42,85.9,90.58,96.32,91.02,104.04,94.79,91.05,98.45,99.39,94.53,96.79,112.45,99.15,100.03,101.8,116.07,111.89,103.95,111.83,111.4,108.33,102.26,107.34,118.53,107.6,110.48,123.36,136.22,130.3,114.89,118.31,121.32,117.74,123.23,130.25,142.93,132.84,117.14,126.29,132.78,144.07,142.44,127.84,137.06,132.48,127.04,132.08,138.82,131.75,138.02,142.76,145.23,139.07,140.92,133.22,131.49,154.54,141.88,130.19,141.42,139.74,130.37,155.77,143.42,147.81,148.45,156.29,168.15,149.8,149.71,166.35,148.15,153.44,158.9,159.69
22,58.42,47.38,51.05,56.0,56.63,54.79,56.53,63.16,60.82,69.31,65.44,64.51,76.23,68.3,74.06,70.98,72.97,74.69,80.32,79.34,78.65,80.35,91.88,85.28,87.66,79.01,81.9,99.56,100.21,92.1,83.96,96.48,88.57,103.59,95.6,98.2,95.99,105.87,99.15,99.89,103.59,124.39,118.91,101.64,110.96,105.61,111.18,118.05,111.68,107.69,107.08,112.23,112.57,126.59,132.34,121.73,120.6,121.41,117.58,123.32,128.14,137.46,120.7,118.48,130.06,120.58,141.28,128.69,122.23,122.09,126.91,122.99,143.93,134.26,136.97,135.74,141.38,142.22,137.84,133.88,133.56,135.49,149.93,143.33,133.05,130.01,152.57,132.68,147.24,148.94,153.18,139.47,144.86,156.87,146.86,145.5,146.92,145.27,160.19,140.6,139.66
23,50.81,42.35,51.48,58.78,59.89,53.2,57.67,62.38,59.26,72.25,69.22,67.71,72.76,67.16,80.86,71.95,66.03,77.07,75.76,77.01,77.71,78.34,82.8,87.55,86.07,84.73,84.11,79.66,97.05,88.01,88.29,94.23,83.88,103.59,91.74,90.23,97.41,98.15,94.81,100.64,107.6,116.72,112.49,101.84,116.58,109.99,110.98,113.71,106.04,112.49,110.05,119.06,113.3,127.06,129.77,129.96,120.19,120.4,119.97,116.16,130.27,138.77,125.33,126.12,122.63,124.41,137.72,135.65,116.46,124.0,120.44,131.91,141.67,132.28,137.61,136.04,143.71,132.63,131.17,136.32,132.74,143.61,155.88,148.18,133.73,136.01,152.91,122.5,153.15,145.59,147.83,142.19,148.28,158.26,145.98,148.8,150.69,147.08,166.73,139.53,156.95
24,53.73,45.48,50.91,54.99,56.54,53.07,52.97,57.97,58.68,67.58,68.37,64.25,68.52,62.06,71.8,71.4,70.09,69.93,75.18,76.03,75.4,85.75,83.83,84.16,88.55,83.18,82.77,86.87,92.77,92.88,94.44,102.45,90.16,93.82,94.73,98.74,98.1,100.1,105.08,99.72,104.64,114.77,109.69,103.44,106.52,108.68,119.66,114.82,113.41,104.17,107.49,113.84,113.42,130.47,128.9,119.22,121.85,113.67,118.5,109.4,115.78,124.82,124.67,124.82,133.07,130.49,140.24,131.7,126.56,131.87,119.79,125.16,122.88,144.26,130.17,133.87,145.46,141.42,125.68,133.32,132.99,138.34,145.92,142.08,139.06,134.94,139.64,137.76,134.58,161.57,148.16,140.79,158.36,158.02,143.31,143.37,143.77,155.65,144.21,157.33,151.12
25,47.64,41.16,49.94,50.49,55.06,53.53,53.07,62.7,61.28,66.85,64.63,62.8,69.81,66.07,69.98,68.6,69.8,68.09,70.98,79.67,71.88,77.23,83.81,83.65,84.27,81.01,80.64,83.16,87.87,94.49,91.27,89.47,87.05,86.54,94.79,99.28,96.3,99.98,96.66,95.39,94.15,113.07,113.38,99.13,105.43,105.47,106.69,108.66,106.59,108.15,112.42,107.33,114.48,120.39,142.08,115.72,118.73,115.34,113.66,118.15,129.68,128.96,118.2,123.44,123.47,123.85,138.94,126.34,134.71,134.24,120.18,123.18,134.64,139.15,133.48,130.41,137.28,139.44,130.57,133.15,135.42,136.52,142.99,138.43,136.65,134.69,142.03,130.16,143.31,151.31,147.8,139.65,139.92,150.83,144.87,148.74,145.36,152.58,147.87,150.2,153.25
26,49.09,43.61,47.49,51.55,53.84,49.0,54.18,63.78,61.01,64.99,63.96,64.82,65.61,69.84,64.0,72.29,70.71,74.97,67.79,74.13,76.71,75.45,78.35,81.56,86.66,82.93,79.84,84.54,92.32,90.84,90.66,86.71,89.28,92.23,97.21,97.43,100.98,100.9,96.12,92.91,101.95,110.23,109.17,99.41,101.21,117.3,102.87,95.97,114.61,111.59,107.48,107.3,113.54,125.25,130.58,105.98,119.9,123.41,122.84,116.52,133.83,127.13,117.92,121.67,128.57,122.45,132.49,131.44,127.31,128.63,125.54,121.52,132.47,142.83,130.69,137.01,136.15,129.97,135.5,133.95,131.56,132.59,139.52,142.8,142.58,145.53,140.65,126.05,154.31,151.64,141.2,143.51,159.09,149.17,150.8,147.51,145.8,152.59,144.26,138.02,152.21
27,47.58,41.51,41.7,45.76,51.36,50.39,48.52,59.02,59.44,57.88,59.96,59.74,60.94,65.26,67.68,70.2,65.67,71.24,71.62,73.9,72.95,73.85,81.16,81.54,83.99,76.1,77.41,78.64,85.4,87.71,83.4,88.16,87.02,85.06,96.12,99.28,90.99,85.9,92.1,100.15,92.6,109.73,112.22,95.83,99.41,102.55,105.55,107.29,108.52,104.64,98.45,109.9,109.74,122.62,128.31,109.98,121.54,128.84,118.57,110.89,133.3,124.68,111.98,118.26,122.34,112.48,122.72,117.7,122.97,122.25,126.33,115.05,124.96,133.94,129.06,139.97,135.47,119.95,134.01,133.54,132.06,127.33,134.61,132.58,130.11,133.08,152.46,137.05,143.14,134.23,134.26,133.8,144.65,157.22,138.88,129.89,148.79,142.7,140.67,151.8,137.8
28,46.77,43.03,42.75,46.02,48.71,48.7,53.34,58.2,58.27,57.65,62.53,57.31,63.42,65.57,62.6,68.97,65.94,71.15,70.81,72.19,73.16,81.45,85.44,79.57,83.77,75.74,80.49,83.66,87.45,85.6,91.3,96.59,84.69,91.35,93.63,93.84,87.39,104.74,98.25,98.32,95.85,101.63,97.67,98.33,99.62,105.0,106.04,106.26,97.99,107.18,99.36,101.38,121.02,127.84,121.48,112.3,111.9,123.51,118.23,115.71,115.68,120.09,122.43,103.14,117.37,124.29,134.92,126.64,117.26,113.76,129.44,119.26,134.73,133.4,128.24,136.03,130.46,122.52,132.03,132.21,130.7,136.35,157.22,141.87,129.07,133.09,134.66,127.3,156.1,150.85,149.26,135.32,137.07,142.31,141.46,139.22,144.16,133.11,141.07,151.62,145.37
29,41.13,40.61,46.4,46.32,52.79,47.05,50.61,53.98,58.05,58.18,59.61,60.09,59.49,63.97,62.12,64.59,68.98,67.43,68.83,79.58,67.14,79.64,74.94,77.93,75.49,83.15,79.25,80.62,81.73,82.87,90.22,88.57,89.37,87.12,88.33,84.02,93.08,101.08,92.21,96.85,94.8,103.61,104.23,98.89,103.35,101.68,99.09,110.61,104.21,101.29,100.04,119.1,109.89,116.19,121.39,106.88,105.42,120.32,108.07,114.88,116.38,126.7,117.63,109.08,131.46,110.65,128.98,124.9,119.85,128.1,126.52,125.24,126.77,138.02,127.65,127.56,130.98,133.18,126.98,123.41,138.73,131.43,137.17,139.31,136.74,142.2,124.03,135.43,147.04,138.08,136.88,139.68,143.31,137.08,130.26,138.19,149.64,151.46,140.46,145.46,149.59
30,40.94,40.16,43.89,46.06,54.01,47.81,49.06,51.78,54.88,59.99,57.97,62.11,61.5,62.17,62.55,67.6,63.8,67.69,69.66,70.25,72.42,74.28,78.44,72.08,77.35,76.26,84.01,79.7,84.09,86.0,87.83,89.86,81.54,86.71,87.13,94.3,94.35,89.27,91.0,98.15,96.95,109.74,104.33,99.03,103.87,95.09,102.82,99.22,99.69,101.49,100.39,108.55,114.72,111.39,116.48,114.49,117.42,123.95,107.5,118.37,120.58,128.47,120.41,107.59,124.35,110.08,123.39,121.44,125.49,109.95,121.61,125.04,127.3,140.94,121.72,123.21,131.22,120.07,135.39,124.42,122.21,133.11,145.31,127.63,131.11,130.83,134.46,134.76,140.37,151.03,139.27,137.77,143.09,140.14,135.27,139.99,145.13,138.02,137.81,149.35,136.14
31,41.75,41.76,42.3,41.65,48.46,49.54,49.66,51.25,51.4,59.07,58.56,58.45,62.21,64.44,62.32,67.18,66.92,68.13,66.7,69.92,70.95,73.01,74.38,75.07,74.04,75.06,76.51,76.7,85.22,81.87,91.41,87.45,80.31,87.66,93.1,97.95,87.99,90.61,97.87,91.32,93.0,104.25,102.75,97.77,96.41,102.44,99.33,107.04,94.5,107.12,99.03,104.33,107.93,110.79,112.42,110.98,117.17,116.95,114.69,111.45,116.61,127.17,115.6,116.89,133.45,119.67,125.08,112.03,124.64,125.47,115.5,122.44,133.86,131.54,118.27,134.35,137.2,136.42,126.53,127.59,131.63,135.03,137.71,127.5,132.72,136.72,130.85,132.41,138.38,130.06,142.08,130.61,143.45,140.39,146.29,136.77,155.84,151.69,144.72,148.36,140.98
